Iteration,Fold #,Raw Loss,BNorm Loss,Raw Accuracy,BNorm Accuracy
1.0,1.0,0.6763415932655334,0.2686863839626312,0.6190476417541504,0.6190476417541504
1.0,2.0,0.6811827421188354,0.3087383210659027,0.7142857313156128,0.7142857313156128
1.0,3.0,0.6761764287948608,0.247809037566185,0.6904761791229248,0.6190476417541504
1.0,4.0,0.6765203475952148,0.1397934854030609,0.5952380895614624,0.5952380895614624
1.0,5.0,0.6763131618499756,0.22110287845134735,0.6341463327407837,0.5121951103210449
2.0,1.0,0.6829120516777039,0.2265462577342987,0.761904776096344,0.4047619104385376
2.0,2.0,0.6810964345932007,0.2047761082649231,0.7142857313156128,0.6190476417541504
2.0,3.0,0.6742495894432068,0.21865613758563995,0.5714285969734192,0.5476190447807312
2.0,4.0,0.6755038499832153,0.30987876653671265,0.6190476417541504,0.5476190447807312
2.0,5.0,0.6765168905258179,0.11197081953287125,0.6097561120986938,0.5609756112098694
3.0,1.0,0.6735062003135681,0.35143527388572693,0.5714285969734192,0.5714285969734192
3.0,2.0,0.6818298697471619,0.25017210841178894,0.738095223903656,0.5952380895614624
3.0,3.0,0.6782732605934143,0.1765466332435608,0.6666666865348816,0.7142857313156128
3.0,4.0,0.6764709949493408,0.2634744644165039,0.6190476417541504,0.5952380895614624
3.0,5.0,0.6707656979560852,0.1844385862350464,0.6829268336296082,0.6585366129875183
4.0,1.0,0.6746231317520142,0.12811218202114105,0.5952380895614624,0.380952388048172
4.0,2.0,0.6758785247802734,0.1862667053937912,0.6666666865348816,0.4523809552192688
4.0,3.0,0.6761541962623596,0.20411381125450134,0.6190476417541504,0.6666666865348816
4.0,4.0,0.6849988102912903,0.16180354356765747,0.8095238208770752,0.6428571343421936
4.0,5.0,0.674968421459198,0.13392210006713867,0.5853658318519592,0.5121951103210449
5.0,1.0,0.6755093932151794,0.19412736594676971,0.6190476417541504,0.4761904776096344
5.0,2.0,0.6737546324729919,0.24008864164352417,0.5714285969734192,0.4761904776096344
5.0,3.0,0.6794817447662354,0.18610018491744995,0.6904761791229248,0.6666666865348816
5.0,4.0,0.6821889877319336,0.2289125621318817,0.761904776096344,0.7857142686843872
5.0,5.0,0.6767374873161316,0.21124610304832458,0.6341463327407837,0.5853658318519592
6.0,1.0,0.6818180680274963,0.13284587860107422,0.738095223903656,0.5714285969734192
6.0,2.0,0.6790382266044617,0.2396891862154007,0.6666666865348816,0.5
6.0,3.0,0.6786513328552246,0.21107929944992065,0.6666666865348816,0.6190476417541504
6.0,4.0,0.6771731972694397,0.24466224014759064,0.6190476417541504,0.5
6.0,5.0,0.6750063300132751,0.27992773056030273,0.5853658318519592,0.5121951103210449
7.0,1.0,0.6766578555107117,0.19130980968475342,0.6190476417541504,0.6666666865348816
7.0,2.0,0.6750328540802002,0.2271704524755478,0.5952380895614624,0.3571428656578064
7.0,3.0,0.6819854974746704,0.20789015293121338,0.738095223903656,0.6904761791229248
7.0,4.0,0.6768105030059814,0.15361694991588593,0.6190476417541504,0.6190476417541504
7.0,5.0,0.6732935309410095,0.25241559743881226,0.707317054271698,0.707317054271698
8.0,1.0,0.6720385551452637,0.23562201857566833,0.5476190447807312,0.5714285969734192
8.0,2.0,0.6801176071166992,0.3718718886375427,0.6428571343421936,0.6666666865348816
8.0,3.0,0.6818760633468628,0.34609121084213257,0.738095223903656,0.523809552192688
8.0,4.0,0.6831797957420349,0.15698489546775818,0.738095223903656,0.6428571343421936
8.0,5.0,0.6751596331596375,0.2282201647758484,0.5853658318519592,0.5365853905677795
9.0,1.0,0.6767067313194275,0.2263161689043045,0.6428571343421936,0.7142857313156128
9.0,2.0,0.6747527718544006,0.15140898525714874,0.6666666865348816,0.5476190447807312
9.0,3.0,0.6783773899078369,0.2545906603336334,0.6904761791229248,0.6190476417541504
9.0,4.0,0.6735836863517761,0.21669520437717438,0.5714285969734192,0.4523809552192688
9.0,5.0,0.6805035471916199,0.14184482395648956,0.707317054271698,0.46341463923454285
10.0,1.0,0.6789559721946716,0.2469722032546997,0.6666666865348816,0.523809552192688
10.0,2.0,0.6419053673744202,0.1551516056060791,0.6428571343421936,0.4523809552192688
10.0,3.0,0.6228904128074646,0.1728116273880005,0.5,0.5714285969734192
10.0,4.0,0.6797213554382324,0.12113580107688904,0.7142857313156128,0.380952388048172
10.0,5.0,0.6818231344223022,0.3124414086341858,0.7560975551605225,0.6585366129875183
