Iteration,Fold #,Sample ID,Actual,Raw,BNorm
1,1,0,0,0,1
1,1,8,0,0,1
1,1,9,0,0,0
1,1,14,1,0,0
1,1,17,0,0,0
1,1,19,1,0,1
1,1,25,1,0,1
1,1,29,1,0,0
1,1,37,0,0,1
1,1,43,0,0,0
1,1,44,0,0,0
1,1,46,0,0,1
1,1,51,0,0,1
1,1,52,0,0,1
1,1,54,1,0,1
1,1,60,1,0,1
1,1,62,0,0,0
1,1,69,0,0,0
1,1,70,0,0,0
1,1,73,0,0,1
1,1,78,0,0,1
1,1,80,0,0,0
1,1,83,1,0,0
1,1,88,1,0,0
1,1,95,0,0,0
1,1,101,0,0,0
1,1,105,0,0,1
1,1,108,1,0,0
1,1,123,0,0,0
1,1,127,0,0,0
1,1,128,1,0,0
1,1,132,0,0,0
1,1,133,1,0,1
1,1,134,1,0,0
1,1,161,0,0,1
1,1,167,0,0,1
1,1,177,1,0,0
1,1,179,1,0,0
1,1,188,1,0,0
1,1,192,1,0,0
1,1,193,0,0,0
1,1,201,0,0,0
1,2,2,1,0,1
1,2,24,1,0,1
1,2,28,0,0,1
1,2,45,0,0,1
1,2,59,1,0,1
1,2,61,1,0,0
1,2,63,0,0,0
1,2,75,0,0,1
1,2,82,0,0,0
1,2,84,1,0,0
1,2,90,0,0,1
1,2,93,1,0,1
1,2,94,1,0,1
1,2,98,0,0,0
1,2,99,0,0,1
1,2,104,1,0,1
1,2,106,1,0,1
1,2,109,1,0,1
1,2,114,0,0,0
1,2,115,0,0,0
1,2,119,0,0,1
1,2,120,0,0,0
1,2,122,0,0,1
1,2,124,1,0,1
1,2,125,0,0,0
1,2,136,1,0,1
1,2,137,1,0,0
1,2,141,0,0,0
1,2,142,1,0,0
1,2,146,1,0,0
1,2,148,1,0,1
1,2,149,1,0,0
1,2,163,0,0,1
1,2,165,0,0,0
1,2,169,1,0,0
1,2,182,0,0,0
1,2,183,0,0,1
1,2,189,0,0,0
1,2,190,0,0,0
1,2,191,0,0,0
1,2,202,0,0,0
1,2,205,0,0,1
1,3,1,0,0,1
1,3,3,0,0,0
1,3,4,0,0,0
1,3,6,0,0,0
1,3,7,1,1,1
1,3,16,0,0,0
1,3,20,0,0,0
1,3,31,0,0,0
1,3,36,0,0,0
1,3,38,1,0,1
1,3,53,0,0,1
1,3,66,0,0,1
1,3,67,0,0,1
1,3,71,1,0,1
1,3,77,0,0,0
1,3,79,0,0,0
1,3,81,0,0,0
1,3,85,0,0,0
1,3,92,1,0,0
1,3,96,0,0,0
1,3,97,1,0,1
1,3,103,0,0,1
1,3,113,0,0,1
1,3,118,0,0,0
1,3,129,1,0,0
1,3,135,1,0,0
1,3,139,0,0,0
1,3,145,1,0,0
1,3,151,0,0,1
1,3,152,0,0,0
1,3,153,1,0,1
1,3,158,0,0,0
1,3,159,0,0,0
1,3,166,1,0,1
1,3,173,0,0,0
1,3,175,1,0,0
1,3,176,0,0,0
1,3,180,0,0,0
1,3,181,0,0,1
1,3,184,0,0,0
1,3,194,0,0,0
1,3,206,0,0,0
1,4,13,1,0,1
1,4,15,0,0,0
1,4,21,0,0,1
1,4,22,0,0,1
1,4,26,0,0,0
1,4,27,1,0,0
1,4,30,0,0,0
1,4,35,0,0,1
1,4,40,0,0,0
1,4,41,1,0,0
1,4,47,1,0,0
1,4,49,0,0,0
1,4,56,1,0,1
1,4,64,0,0,1
1,4,72,0,0,0
1,4,74,0,0,1
1,4,86,0,0,0
1,4,100,0,0,0
1,4,102,1,0,0
1,4,121,1,0,0
1,4,126,1,0,1
1,4,131,0,0,0
1,4,138,0,0,0
1,4,140,0,0,0
1,4,143,0,0,0
1,4,144,1,0,0
1,4,147,0,0,1
1,4,150,0,0,1
1,4,154,0,0,0
1,4,155,0,0,1
1,4,157,0,0,0
1,4,164,1,0,1
1,4,168,0,0,1
1,4,170,1,0,1
1,4,171,1,0,0
1,4,172,0,0,1
1,4,187,0,0,0
1,4,195,0,0,1
1,4,196,0,0,1
1,4,197,1,0,0
1,4,200,1,0,0
1,4,207,0,0,1
1,5,5,0,0,1
1,5,10,0,0,1
1,5,11,1,0,0
1,5,12,0,0,1
1,5,18,0,0,1
1,5,23,0,0,0
1,5,32,0,0,1
1,5,33,0,0,1
1,5,34,0,0,0
1,5,39,0,0,1
1,5,42,1,0,0
1,5,48,0,0,0
1,5,50,1,0,1
1,5,55,0,0,0
1,5,57,1,0,0
1,5,58,0,0,0
1,5,65,0,0,0
1,5,68,1,0,0
1,5,76,0,0,0
1,5,87,0,0,0
1,5,89,0,0,0
1,5,91,0,0,1
1,5,107,1,0,0
1,5,110,1,0,1
1,5,111,1,0,1
1,5,112,0,0,0
1,5,116,0,1,0
1,5,117,1,0,1
1,5,130,0,0,1
1,5,156,1,0,1
1,5,160,0,0,0
1,5,162,1,0,0
1,5,174,1,0,0
1,5,178,0,0,0
1,5,185,1,0,0
1,5,186,0,0,0
1,5,198,0,0,1
1,5,199,0,0,0
1,5,203,0,0,0
1,5,204,0,0,1
1,5,208,0,0,1
