Layer,Raw Precision,BNorm Precision,Raw Recall,BNorm Recall,Raw Time,BNorm Time
1,0.46691176470588236,0.37018255578093306,0.1763888888888889,0.5069444444444444,26.53519730091095,3.9934760236740114
2,0.38071065989847713,0.3413654618473896,0.10416666666666667,0.4722222222222222,41.32760318756104,5.6977441787719725
3,0.35064935064935066,0.3315844700944386,0.1125,0.4388888888888889,42.65562332630157,7.069184808731079
4,0.2,0.3654661016949153,0.013888888888888888,0.4791666666666667,42.89511367321015,8.425256199836731
5,0.0,0.36298568507157464,0.0,0.4930555555555556,43.06559384822845,9.836731753349305
6,0.0,0.3473360655737705,0.0,0.4708333333333333,43.12056799888611,11.262956743240357
