Iteration,Fold #,Raw Loss,BNorm Loss,Raw Accuracy,BNorm Accuracy,Raw Precision,BNorm Precision,Raw Recall,BNorm Recall
1.0,1.0,0.6563940048217773,0.04767904058098793,0.738095223903656,0.6190476417541504,0.36904761904761907,0.6190476190476191,0.5,0.653958944281525
1.0,2.0,0.6293842196464539,0.007881349883973598,0.5714285969734192,0.523809552192688,0.2857142857142857,0.5072115384615384,0.5,0.5069444444444444
1.0,3.0,0.6457704305648804,0.07047140598297119,0.6666666865348816,0.5476190447807312,0.3333333333333333,0.5164705882352941,0.5,0.5178571428571428
1.0,4.0,0.6457703113555908,0.04067034646868706,0.6666666865348816,0.6190476417541504,0.3333333333333333,0.5972222222222222,0.5,0.6071428571428572
1.0,5.0,0.640569806098938,0.04732979089021683,0.6341463327407837,0.6341463327407837,0.3170731707317073,0.6018518518518519,0.5,0.5987179487179487
2.0,1.0,0.6530095338821411,0.006243617739528418,0.7142857313156128,0.6428571343421936,0.35714285714285715,0.5303030303030303,0.5,0.525
2.0,2.0,0.6419143676757812,0.027900030836462975,0.6428571343421936,0.5714285969734192,0.32142857142857145,0.5458823529411765,0.5,0.5481481481481482
2.0,3.0,0.6419144868850708,0.007604656275361776,0.6428571343421936,0.5476190447807312,0.32142857142857145,0.5277777777777778,0.5,0.5296296296296297
2.0,4.0,0.6378989815711975,0.009034032933413982,0.6190476417541504,0.4523809552192688,0.30952380952380953,0.39124668435013266,0.5,0.4014423076923077
2.0,5.0,0.6444571614265442,0.008664442226290703,0.6585366129875183,0.5121951103210449,0.32926829268292684,0.4576719576719577,0.5,0.4576719576719577
3.0,1.0,0.6494683623313904,0.013693762011826038,0.6904761791229248,0.6666666865348816,0.34523809523809523,0.5982404692082112,0.5,0.5888594164456233
3.0,2.0,0.641914427280426,0.007408810313791037,0.6428571343421936,0.5476190447807312,0.32142857142857145,0.5277777777777778,0.5,0.5296296296296297
3.0,3.0,0.6337226629257202,0.011819128878414631,0.5952380895614624,0.380952388048172,0.2976190476190476,0.34074074074074073,0.5,0.3482352941176471
3.0,4.0,0.6468485593795776,0.007339382078498602,0.6904761791229248,0.5,0.34523809523809523,0.5277777777777778,0.5,0.5318302387267905
3.0,5.0,0.6444571614265442,0.0056658778339624405,0.6585366129875183,0.6341463327407837,0.32926829268292684,0.5879120879120879,0.5,0.5846560846560847
4.0,1.0,0.6494686603546143,0.006600392982363701,0.6904761791229248,0.5,0.34523809523809523,0.49090909090909085,0.5,0.4893899204244032
4.0,2.0,0.6563951373100281,0.007039667572826147,0.738095223903656,0.4761904776096344,0.36904761904761907,0.5223529411764706,0.5,0.5278592375366569
4.0,3.0,0.624882698059082,0.033819641917943954,0.5476190447807312,0.5952380895614624,0.27380952380952384,0.6129807692307692,0.5,0.6075514874141876
4.0,4.0,0.6457707285881042,0.008010070770978928,0.6666666865348816,0.5952380895614624,0.3333333333333333,0.5952380952380952,0.5,0.6071428571428572
4.0,5.0,0.6405685544013977,0.0077555300667881966,0.6341463327407837,0.5121951103210449,0.3170731707317073,0.48897058823529416,0.5,0.48846153846153845
5.0,1.0,0.6431267857551575,0.06417348235845566,0.6666666865348816,0.3571428656578064,0.3333333333333333,0.39629629629629626,0.5,0.39285714285714285
5.0,2.0,0.6530095338821411,0.008178611285984516,0.7142857313156128,0.5952380895614624,0.35714285714285715,0.537037037037037,0.5,0.5416666666666666
5.0,3.0,0.629384458065033,0.02718055248260498,0.5714285969734192,0.523809552192688,0.2857142857142857,0.48125,0.5,0.4861111111111111
5.0,4.0,0.6563950777053833,0.012508225627243519,0.738095223903656,0.5476190447807312,0.36904761904761907,0.4333333333333333,0.5,0.4296187683284457
5.0,5.0,0.6323202848434448,0.03199853375554085,0.5853658318519592,0.5121951103210449,0.2926829268292683,0.44791666666666663,0.5,0.4632352941176471
6.0,1.0,0.6457704901695251,0.013099228031933308,0.6666666865348816,0.5,0.3333333333333333,0.46705882352941175,0.5,0.4642857142857143
6.0,2.0,0.6457703113555908,0.013929910026490688,0.6666666865348816,0.5952380895614624,0.3333333333333333,0.580091533180778,0.5,0.5892857142857142
6.0,3.0,0.6293712854385376,0.006480847951024771,0.5714285969734192,0.5,0.2857142857142857,0.46816976127320953,0.5,0.4722222222222222
6.0,4.0,0.649461567401886,0.012993951328098774,0.6904761791229248,0.6190476417541504,0.34523809523809523,0.5703703703703704,0.5,0.5755968169761274
6.0,5.0,0.6481806039810181,0.013400232419371605,0.6829268336296082,0.6585366129875183,0.34146341463414637,0.6311274509803921,0.5,0.646978021978022
7.0,1.0,0.6419116258621216,0.008782114833593369,0.6428571343421936,0.4523809552192688,0.32142857142857145,0.41346153846153844,0.5,0.4111111111111111
7.0,2.0,0.6596261262893677,0.008159119635820389,0.761904776096344,0.6428571343421936,0.38095238095238093,0.5740740740740741,0.5,0.59375
7.0,3.0,0.6457704901695251,0.011601564474403858,0.6666666865348816,0.6666666865348816,0.3333333333333333,0.6458333333333333,0.5,0.6607142857142858
7.0,4.0,0.6378991007804871,0.007935636676847935,0.6190476417541504,0.5,0.30952380952380953,0.48855835240274603,0.5,0.4879807692307692
7.0,5.0,0.6323202252388,0.02783043123781681,0.5853658318519592,0.5365853905677795,0.2926829268292683,0.5105820105820106,0.5,0.5098039215686274
8.0,1.0,0.6530095934867859,0.008224433287978172,0.7142857313156128,0.5476190447807312,0.35714285714285715,0.38888888888888884,0.5,0.4083333333333333
8.0,2.0,0.641914427280426,0.031808845698833466,0.6428571343421936,0.6428571343421936,0.32142857142857145,0.625,0.5,0.6333333333333333
8.0,3.0,0.6563952565193176,0.008057551458477974,0.738095223903656,0.5476190447807312,0.36904761904761907,0.4642857142857143,0.5,0.45894428152492667
8.0,4.0,0.6337110996246338,0.006949424743652344,0.5952380895614624,0.6190476417541504,0.2976190476190476,0.596816976127321,0.5,0.5858823529411765
8.0,5.0,0.6323204040527344,0.012074335478246212,0.5853658318519592,0.5853658318519592,0.2926829268292683,0.5700000000000001,0.5,0.5686274509803921
9.0,1.0,0.6378991007804871,0.007672287058085203,0.6190476417541504,0.5714285969734192,0.30952380952380953,0.5659090909090909,0.5,0.5697115384615384
9.0,2.0,0.6684901118278503,0.008222092874348164,0.8333333134651184,0.6190476417541504,0.4166666666666667,0.4907161803713528,0.5,0.4857142857142857
9.0,3.0,0.6248824596405029,0.009699856862425804,0.5476190447807312,0.5476190447807312,0.27380952380952384,0.5357142857142857,0.5,0.5320366132723112
9.0,4.0,0.6378887295722961,0.07514403015375137,0.6190476417541504,0.5476190447807312,0.30952380952380953,0.5258823529411765,0.5,0.5264423076923077
9.0,5.0,0.6444570422172546,0.007880744524300098,0.6585366129875183,0.4878048896789551,0.32926829268292684,0.47607655502392343,0.5,0.4735449735449735
10.0,1.0,0.6337110996246338,0.03501618281006813,0.5952380895614624,0.5714285969734192,0.2976190476190476,0.5552941176470588,0.5,0.5552941176470588
10.0,2.0,0.6563949584960938,0.008555037900805473,0.738095223903656,0.6428571343421936,0.36904761904761907,0.5714285714285714,0.5,0.5821114369501467
10.0,3.0,0.6378887891769409,0.0069637177512049675,0.6190476417541504,0.523809552192688,0.30952380952380953,0.5181818181818182,0.5,0.5192307692307692
10.0,4.0,0.6494683027267456,0.009756950661540031,0.6904761791229248,0.523809552192688,0.34523809523809523,0.44297082228116713,0.5,0.44297082228116713
10.0,5.0,0.640569806098938,0.008045116439461708,0.6341463327407837,0.6097561120986938,0.3170731707317073,0.570054945054945,0.5,0.5653846153846154
